,A,CS2,C_WP,DER,DP,E,G2,GS2,INN,PB,PO,SB2,SBPCT,TC,team,year
175,1868,43,67,.680,177,122,162,1458,13407.0,11,4469,144,.770,6459,Pittsburgh Pirates,2014
176,1678,46,71,.682,164,116,162,1458,12915.0,7,4305,104,.693,6099,Milwaukee Brewers,2014
177,1695,25,51,.689,169,119,162,1458,12984.0,11,4328,82,.766,6142,Texas Rangers,2014
178,1585,32,60,.668,145,117,162,1458,12927.0,12,4309,79,.712,6011,Philadelphia Phillies,2014
179,1642,40,62,.692,154,126,162,1458,13002.0,14,4334,78,.661,6102,Oakland Athletics,2014
180,1588,38,45,.713,120,72,162,1458,13014.0,13,4338,71,.651,5998,Cincinnati Reds,2013
181,1673,46,49,.693,133,83,162,1458,13215.0,8,4405,115,.714,6161,Philadelphia Phillies,2013
182,1608,35,80,.715,139,82,162,1458,13068.0,11,4356,92,.724,6046,Seattle Mariners,2013
183,1482,39,74,.705,127,83,162,1458,13344.0,5,4448,106,.731,6013,Los Angeles Angels,2013
184,1527,29,75,.688,143,85,162,1458,13095.0,18,4365,100,.775,5977,Atlanta Braves,2013
185,1604,32,42,.706,156,87,162,1458,13152.0,9,4384,84,.724,6075,Baltimore Orioles,2013
186,1617,29,44,.700,145,88,162,1458,13038.0,7,4346,54,.651,6051,St. Louis Cardinals,2013
187,1528,24,43,.694,130,87,162,1458,12987.0,18,4329,94,.797,5944,Toronto Blue Jays,2013
188,1610,33,51,.687,155,92,162,1458,13191.0,18,4397,87,.725,6099,Boston Red Sox,2013
189,1309,26,65,.702,96,88,162,1458,13173.0,9,4391,82,.759,5788,Tampa Bay Rays,2013
190,1474,38,49,.687,107,92,162,1458,13077.0,15,4359,77,.670,5925,New York Yankees,2013
191,1700,34,56,.678,154,97,162,1458,13119.0,9,4373,109,.762,6170,Miami Marlins,2013
192,1579,22,50,.674,136,97,162,1458,12915.0,8,4305,100,.820,5981,Minnesota Twins,2013
193,1699,47,49,.703,155,100,162,1458,13041.0,11,4347,107,.695,6146,San Francisco Giants,2013
194,1625,36,37,.693,139,100,162,1458,13236.0,6,4412,60,.625,6137,Washington Nationals,2013
195,1602,35,44,.698,130,99,162,1458,13119.0,7,4373,96,.733,6074,Milwaukee Brewers,2013
196,1645,34,50,.677,147,101,162,1458,12999.0,6,4333,75,.688,6079,Arizona Diamondbacks,2013
197,1668,38,64,.683,137,103,162,1458,13170.0,13,4390,114,.750,6161,Chicago Cubs,2013
198,1538,51,43,.674,153,101,162,1458,13086.0,8,4362,111,.685,6001,Detroit Tigers,2013
199,1560,40,57,.698,124,101,162,1458,12948.0,21,4316,116,.744,5977,San Diego Padres,2013
200,1617,25,56,.690,158,104,162,1458,13173.0,16,4391,85,.773,6112,New York Mets,2013
201,1808,16,72,.683,166,106,162,1458,12879.0,20,4293,85,.842,6207,Colorado Rockies,2013
202,1707,38,64,.690,145,107,162,1458,13182.0,12,4394,86,.694,6208,Los Angeles Dodgers,2013
203,1838,49,71,.696,148,109,162,1458,13107.0,9,4369,107,.686,6316,Pittsburgh Pirates,2013
204,1704,32,57,.685,151,106,162,1458,12948.0,14,4316,109,.773,6126,Houston Astros,2013
205,1512,29,58,.695,122,104,162,1458,13056.0,6,4352,69,.704,5968,Kansas City Royals,2013
206,1682,32,75,.679,170,107,162,1458,12969.0,17,4323,93,.744,6112,Chicago White Sox,2013
207,1634,28,59,.713,150,111,162,1458,13170.0,10,4390,100,.781,6135,Oakland Athletics,2013
208,1413,36,61,.677,155,106,162,1458,12837.0,9,4279,85,.702,5798,Texas Rangers,2013
209,1599,44,56,.673,139,116,162,1458,13215.0,9,4405,95,.683,6120,Cleveland Indians,2013
210,1614,32,38,.700,165,54,162,1458,13077.0,8,4359,63,.663,6027,Baltimore Orioles,2012
211,1593,33,69,.708,147,59,163,1467,13176.0,10,4392,119,.783,6044,Tampa Bay Rays,2012
212,1544,30,57,.688,139,69,162,1458,13026.0,16,4342,72,.706,5955,New York Yankees,2012
213,1733,22,84,.699,135,75,162,1458,13455.0,10,4485,48,.686,6293,Arizona Diamondbacks,2012
214,1718,26,33,.692,177,75,162,1458,13137.0,6,4379,39,.600,6172,St. Louis Cardinals,2012
215,1643,35,44,.715,131,76,162,1458,13263.0,8,4421,70,.667,6140,Cincinnati Reds,2012
