,AO1,BB1,BK,CG,CS1,ER,ERA,G1,GF,GIDP,GO1,GO_AO1,GS,H1,HB,HLD,HR1,IBB1,IP,L,NP,OBP1,OPS,PK,R1,SB1,SHO,SLG1,SO1,SV,SVO,TBF,W,WHIP,WP,WPCT,team,year
105,1374,549,4,2,26,720,4.42,162,160,128,1512,1.10,162,1460,48,81,203,25,1465.0,86,24441,.326,.756,2,784,119,6,.429,1372,45,72,6316,76,1.37,53,.469,Toronto Blue Jays,2016
106,1590,490,7,1,26,713,4.46,162,161,125,1353,0.85,162,1399,53,93,237,28,1440.1,84,23533,.318,.754,5,772,80,9,.435,1244,39,65,6132,78,1.31,73,.481,Seattle Mariners,2016
107,1486,632,5,0,26,755,4.78,162,162,139,1435,0.97,162,1384,68,56,242,36,1421.2,95,24573,.337,.787,11,820,120,3,.450,1193,25,40,6200,67,1.42,67,.414,Chicago White Sox,2016
108,1296,493,0,3,32,646,4.01,162,159,145,1552,1.20,162,1393,67,91,183,50,1450.1,79,23647,.320,.731,8,705,54,12,.411,1351,43,60,6153,83,1.30,38,.512,St. Louis Cardinals,2016
109,1294,553,2,1,32,642,4.00,162,161,145,1526,1.18,162,1381,64,103,185,45,1445.2,76,24213,.326,.741,14,697,99,12,.414,1346,54,79,6164,86,1.34,50,.531,Milwaukee Brewers,2016
110,1490,470,6,1,43,672,4.20,162,161,114,1339,0.90,162,1373,44,80,224,25,1440.2,82,23397,.314,.744,13,709,71,10,.429,1312,43,65,6030,80,1.28,57,.494,Los Angeles Angels,2016
111,1450,465,3,5,39,610,3.70,162,157,116,1291,0.89,162,1384,49,83,195,18,1482.1,69,25131,.306,.712,4,668,61,11,.406,1580,39,58,6217,93,1.25,43,.574,Boston Red Sox,2016
112,1475,503,4,0,22,638,3.97,162,162,113,1395,0.95,162,1324,48,98,193,37,1445.0,82,24000,.309,.711,8,704,83,9,.403,1352,53,75,6099,80,1.26,83,.494,Tampa Bay Rays,2016
113,1186,516,5,2,32,586,3.66,162,160,125,1539,1.30,162,1309,38,93,171,45,1441.0,69,23856,.309,.707,15,659,69,11,.398,1482,43,63,6072,93,1.27,82,.574,Arizona Diamondbacks,2016
114,1166,522,4,1,14,662,4.12,162,161,133,1440,1.23,162,1314,70,93,192,17,1446.0,61,24124,.313,.720,7,700,102,9,.407,1593,45,67,6111,101,1.27,86,.623,Houston Astros,2016
115,1377,495,5,3,29,623,3.88,162,159,119,1378,1.00,162,1300,60,89,189,39,1446.2,65,24102,.308,.703,3,672,94,5,.396,1457,46,64,6068,97,1.24,44,.599,Washington Nationals,2016
116,1263,554,4,2,35,636,3.95,162,160,119,1491,1.18,162,1294,66,90,194,29,1447.1,70,24398,.315,.713,16,695,121,8,.398,1439,38,57,6108,92,1.28,73,.568,Chicago Cubs,2016
117,1210,406,1,7,37,529,3.30,162,155,139,1323,1.09,162,1267,45,90,163,15,1440.2,60,23021,.294,.673,3,564,50,19,.380,1614,37,47,5866,102,1.16,48,.630,Cleveland Indians,2016
118,1298,504,4,2,26,599,3.72,162,160,85,1411,1.09,162,1248,53,71,192,18,1448.2,71,23924,.298,.680,5,660,65,7,.382,1560,36,59,6078,91,1.21,83,.562,New York Yankees,2016
119,1331,442,10,2,28,543,3.38,162,160,109,1335,1.00,162,1226,40,98,184,33,1444.2,58,23284,.290,.671,11,580,68,16,.380,1549,51,68,5925,104,1.15,40,.642,Los Angeles Dodgers,2016
120,1481,479,7,4,20,814,5.08,162,158,155,1505,1.02,162,1617,41,46,221,26,1443.0,103,24470,.340,.806,14,889,78,3,.466,1191,26,46,6314,59,1.45,83,.364,Minnesota Twins,2015
121,1315,603,7,2,35,821,5.09,162,160,125,1581,1.20,162,1563,57,69,202,57,1451.1,93,24789,.348,.801,4,890,63,7,.454,1318,31,53,6437,69,1.49,69,.426,Arizona Diamondbacks,2015
122,1220,547,5,2,31,779,4.91,162,160,128,1693,1.39,162,1532,70,74,181,38,1429.1,87,24013,.345,.790,12,860,100,9,.446,1223,37,65,6289,75,1.45,72,.463,Colorado Rockies,2015
123,1555,498,10,4,47,676,4.28,162,158,126,1394,0.90,162,1480,56,85,208,27,1421.1,88,23705,.334,.774,20,727,93,12,.440,1136,29,50,6120,74,1.39,47,.457,Los Angeles Angels,2015
124,1308,533,7,5,28,679,4.21,162,157,150,1659,1.27,162,1490,68,89,180,28,1450.2,83,24068,.336,.772,7,758,102,5,.436,1232,51,71,6292,78,1.39,71,.484,Pittsburgh Pirates,2015
125,1468,466,9,4,32,739,4.63,162,158,120,1412,0.96,162,1468,51,81,213,30,1437.0,91,23836,.325,.772,8,796,70,12,.448,1299,43,63,6164,71,1.35,57,.438,Philadelphia Phillies,2015
126,1361,532,2,0,59,650,4.08,162,162,122,1606,1.18,162,1450,66,88,178,33,1434.1,89,23795,.333,.760,10,733,92,7,.426,1175,46,69,6188,73,1.38,48,.451,Milwaukee Brewers,2015
127,1498,636,12,2,45,786,4.91,162,160,118,1436,0.96,162,1457,78,57,258,31,1442.0,94,24903,.345,.801,17,854,108,8,.456,1241,28,53,6348,68,1.45,61,.420,Cincinnati Reds,2015
